Movie,Director,Country,Year
Sour Grapes,"Jerry Rothwell, Reuben Atlas",United Kingdom,2016
Space Cowboys,Clint Eastwood,United States,2000
Spanish Affair 2,Emilio MartÃ­nez LÃ¡zaro,Spain,2015
Sparkle,Sam O'Steen,United States,1976
Sparring,Samuel Jouy,France,2017
Special 26,Neeraj Pandey,India,2013
Special Correspondents,Ricky Gervais,"Canada, United Kingdom, United States",2016
Spectral,Nic Mathieu,"United States, Hungary",2016
Speech & Debate,Dan Harris,United States,2017
Speed Is My Need,Mark Sloper,United Kingdom,2019
Spelling the Dream,Sam Rega,United States,2020
Spenser Confidential,Peter Berg,United States,2020
SPF-18,Alex Israel,United States,2017
Spider-Man 3,Sam Raimi,United States,2007
Spider-Man: Into the Spider-Verse,"Peter Ramsey, Rodney Rothman, Bob Persichetti",United States,2018
Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton",United States,2020
Spirit Riding Free: Spirit of Christmas,,United States,2019
Spitfire: The Plane that Saved the World,"David Fairhead, Anthony Palmer",United Kingdom,2018
Spivak,"Anthony Abrams, Adam Larson Broder",United States,2017
Splatter,Joe Dante,United States,2009
Spookley and the Christmas Kittens,Bernie Denk,United States,2019
Spookley the Square Pumpkin,Bernie Denk,United States,2004
Spotlight,Tom McCarthy,United States,2015
Spring Breakers,Harmony Korine,"United States, France",2012
Springsteen on Broadway,Thom Zimny,United States,2018
Sprinter,Storm Saulter,"Jamaica, United States",2018
Spy Kids,Robert Rodriguez,United States,2001
Spy Kids 2: The Island of Lost Dreams,Robert Rodriguez,United States,2002
Spy Kids 3: Game Over,Robert Rodriguez,United States,2003
Spy Kids: All the Time in the World,Robert Rodriguez,United States,2011
Spy Time,Javier Ruiz Caldera,Spain,2015
Spyder,A.R. Murugadoss,India,2017
St. Agatha,Darren Lynn Bousman,United States,2018
Staged Killer,Christopher Ray,United States,2019
Standoff,Adam Alleca,Canada,2015
Star Men,Alison E. Rose,"Canada, United States, United Kingdom",2015
Star Wars: Episode VIII: The Last Jedi,Rian Johnson,United States,2017
StarBeam: Halloween Hero,Jon Izen,Canada,2020
Stardust,Matthew Vaughn,"United Kingdom, United States",2007
Starred Up,David Mackenzie,United Kingdom,2013
Stars in the Sky: A Hunting Story,Steven Rinella,United States,2018
Starsky & Hutch,Todd Phillips,United States,2004
Starting Over Again,Olivia M. Lamasan,Philippines,2014
Steal a Pencil for Me,MichÃ¨le Ohayon,United States,2006
Stealing History,"Ola Flyum, David Hebditch",United States,2006
Steam Team to the Rescue,Joey So,,2019
Steel Rain,Yang Woo-seok,South Korea,2018
Step Brothers,Adam McKay,United States,2008
Step Outside,Wael Ihsan,Egypt,2018
Step Sisters,Charles Stone III,United States,2018
Stephanie,Akiva Goldsman,United States,2017
Stereo,Maximilian Erlenwein,Germany,2014
Steve Jobs,Danny Boyle,"United Kingdom, United States",2015
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Marcus Raboy,United States,2018
Sthaniya Sambaad,"Arjun Gourisaria, Moinak Biswas",India,2010
Still,"Chatchai Katenut, Manussa Vorasingha, Tanwarin Sukkhapisit, Poj Arnon",Thailand,2010
Still LAUGH-IN: The Stars Celebrate,,United States,2019
Stink!,Jon J. Whelan,United States,2015
Stonehearst Asylum,Brad Anderson,United States,2014
Stop at Nothing: The Lance Armstrong Story,Alex Holmes,"Australia, United Kingdom, United States, New Zealand, Italy, France",2014
Story of an Egg,Raj B. Shetty,India,2017
Straight Up,James Sweeney,United States,2020
Strange but True,Rowan Athale,Canada,2019
Strange Voices,Arthur Allan Seidelman,United States,1987
Strange Weather,Katherine Dieckmann,United States,2016
Stranger than Fiction,Marc Forster,"United States, United Kingdom",2006
Stray Bullet,Georges Hachem,Lebanon,2010
Stree,Amar Kaushik,India,2018
Street Flow,"LeÃ¯la Sy, Kery James",France,2019
Stretch Armstrong: The Breakout,Victor Cook,United States,2018
Strictly Ballroom,Baz Luhrmann,"Australia, United Kingdom",1992
Strike a Pose,"Ester Gould, Reijer Zwaan","Netherlands, Belgium",2016
Stripes,Ivan Reitman,United States,1981
Striptease,Andrew Bergman,United States,1996
Strong Island,Yance Ford,"United States, Denmark",2017
Stronger Than the World,Afonso Poyart,Brazil,2016
Struggle: The Life and Lost Art of Szukalski,Irek Dobrowolski,"Poland, United States",2018
Stuart Little,Rob Minkoff,"Germany, United States",1999
Stuart Little 2,Rob Minkoff,United States,2002
Stuck Apart,,Turkey,2021
Studio 54,Matt Tyrnauer,United States,2018
Stunt School,Ali YorgancÄ±oÄlu,Turkey,2019
Sturgill Simpson Presents Sound & Fury,"Jumpei Mizusaki, Koji Morimoto, Michael Arias, Masaru Matsumoto, Arthell Isom, Henry Thurlow, Takanobu Mizuno, Elsa Nakamichi, Hajime Sasaki, Shinji Takagi",United States,2019
Submission,J.M. Berrios,United States,2019
Suburra,Stefano Sollima,"Italy, France",2015
Suckseed,Chayanop Boonprakob,Thailand,2011
Sudani from Nigeria,Zakariya,India,2018
Suffragette,Sarah Gavron,"United Kingdom, France",2015
Sugar High,Ariel Boles,United States,2020
Suicide (Hitabdut),Benny Fredman,Israel,2014
Suite FranÃ§aise,Saul Dibb,"United Kingdom, France, Canada, Belgium, United States",2014
Summer Night,Joseph Cross,United States,2019
Summer of '92,Kasper Barfoed,"Denmark, United Kingdom, Sweden",2015
Sun Dogs,Jennifer Morrison,"Mexico, United States",2017
Sunday's Illness,RamÃ³n Salazar,Spain,2017
SunGanges,Valli Bindana,"India, United States",2018
Sunrise,Partho Sen-Gupta,"India, France",2014
Super Bheem Bana Vajraveer,Sumit Das,India,2018
Super Dark Times,Kevin Phillips,United States,2017
Super Deluxe,Thiagarajan Kumararaja,India,2019
Super Monsters and the Wish Star,Jacob Joice,,2018
Super Monsters Back to School,,Canada,2019
Super Monsters Furever Friends,,,2019
Super Monsters Save Christmas,Steve Ball,United States,2019
Super Monsters Save Halloween,,,2018
Super Monsters: Dia de los Monsters,,Canada,2020
Super Monsters: Santaâs Super Monster Helpers,Steve Ball,,2020
Super Monsters: The New Class,Steve Ball,Canada,2020
Super Monsters: Vida's First Halloween,"Jacob Joice, Steve Ball",United States,2019
Super Nani,Indra Kumar,India,2014
Superbad,Greg Mottola,United States,2007
Superfly,Gordon Parks,United States,1972
Superlopez,Javier Ruiz Caldera,Spain,2018
Superman Returns,Bryan Singer,United States,2006
Superstar,Bruce McCulloch,United States,1999
Sur Sapata,Mangesh Kanthale,India,2019
Sur: The Melody of Life,Tanuja Chandra,India,2002
Surat Dari Praha,Angga Dwimas Sasongko,Indonesia,2016
Surf's Up,"Ash Brannon, Chris Buck",United States,2007
Surga Yang Tak Dirindukan,Kuntz Agus,Indonesia,2015
Surga Yang Tak Dirindukan 2,"Hanung Bramantyo, Meisa Felaroze",Indonesia,2017
Surviving R. Kelly: The Impact,,United States,2019
Survivors Guide to Prison,Matthew Cooke,United States,2017
Susanne Bartsch: On Top,"Anthony Caronna, Alexander Smith",United States,2017
Sustainable,Matt Wechsler,United States,2016
Suzzanna: Buried Alive,"Rocky Soraya, Anggy Umbara",Indonesia,2018
Svaha: The Sixth Finger,Jang Jae-hyun,South Korea,2019
Swades,Ashutosh Gowariker,India,2004
Swami,Basu Chatterjee,India,1977
Swearnet Live,"Mike Smith, John Paul Tremblay, Robb Wells",Canada,2014
Swearnet: The Movie,Warren P. Sonoda,Canada,2014
Sweeney Todd: The Demon Barber of Fleet Street,Tim Burton,"United States, United Kingdom",2007
Sweet Virginia,Jamie M. Dagg,"United States, Canada",2017
Sweetheart,J.D. Dillard,United States,2019
Swiped,Ann Deborah Fishman,United States,2018
Swiss Army Man,"Dan Kwan, Daniel Scheinert","United States, Sweden",2016
Sword Master,Derek Yee,"China, Hong Kong",2016
Sword Masters: Two Champions of Shaolin,Cheh Chang,Hong Kong,1980
Swordfish,Dominic Sena,United States,2001
Sylvia,Daniel Oriahi,Nigeria,2018
System Crasher,Nora Fingscheidt,Germany,2020
Taal,Subhash Ghai,India,1999
Taare Zameen Par,Aamir Khan,India,2007
Tahaan,Santosh Sivan,India,2008
Take Me,Pat Healy,United States,2017
Take Me Home Tonight,Michael Dowse,"United States, Germany",2011
Take the 10,Chester Tam,United States,2017
"Take the Ball, Pass the Ball",Duncan McMath,Spain,2018
Take Your Pills,Alison Klayman,United States,2018
Takers,John Luessenhop,United States,2010
Talaash,Reema Kagti,India,2012
Talentime,Yasmin Ahmad,Malaysia,2009
Tales From the Hood 2,"Rusty Cundieff, Darin Scott",United States,2018
Tall Girl,Nzingha Stewart,United States,2019
Tallulah,Sian Heder,United States,2016
Tamanchey,Navneet Behal,India,2014
Tamasha,Imtiaz Ali,India,2015
Tanda Tanya,Hanung Bramantyo,,2011
Tango Feroz,,"Argentina, Spain",1993
Tanu Weds Manu,Aanand Rai,India,2011
Taramani,Ram,India,2017
Tarek's Situation,Wael Ehsan,Egypt,2006
Target,Raditya Dika,Indonesia,2018
Tarif de nuit,Julien Seri,France,2015
Tarung Sarung,Archie Hekagery,Indonesia,2020
Tarzan,"Chris Buck, Kevin Lima",United States,1999
Tarzan 2,Brian Smith,United States,2005
Tattah,Sameh Abdulaziz,Egypt,2013
Tatu,Don Omope,Nigeria,2017
TAU,Federico D'Alessandro,United States,2018
Taxi Ballad,Daniel Joseph,"Lebanon, United States, United Arab Emirates",2012
Taxi Driver,Martin Scorsese,United States,1976
Taylor Swift reputation Stadium Tour,Paul Dugdale,,2018
Taylor Tomlinson: Quarter-Life Crisis,Marcus Raboy,United States,2020
Tayo the Little Bus Movie: Mission Ace,Ryu Jung-woo,United States,2016
TE3N,Ribhu Dasgupta,India,2016
Teach Us All,Sonia Lowman,United States,2017
Team Foxcatcher,Jon Greenhalgh,United States,2016
Tears of the Sun,Antoine Fuqua,United States,2003
Tee Shot: Ariya Jutanugarn,Tanawat Aiemjinda,Thailand,2019
Teefa in Trouble,Ahsan Rahim,Pakistan,2018
Teen Aur Aadha,Dar Gai,India,2018
Teen Patti,Leena Yadav,India,2010
Teenage Cocktail,John Carchietta,United States,2016
Teenage Mutant Ninja Turtles,Kevin Munroe,"Hong Kong, United States",2007
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Michael Pressman,"United States, Hong Kong",1991
Teenage Mutant Ninja Turtles: The Movie,Steve Barron,,1990
Tees Maar Khan,Farah Khan,India,2010
Tell Me Who I Am,Ed Perkins,United Kingdom,2019
Tellur Aliens,Einar Gabbassov,"United States, Kazakhstan",2016
Temple,Michael Barrett,"Japan, United States",2017
Temporada de Caza,Natalia Garagiola,"Argentina, France, United States, Germany, Qatar",2017
Ten Years,"Jevons Au, Zune Kwok, Chow Kwun-wai, Ng Ka-Leung, Wong Fei-Pang",Hong Kong,2015
Tere Naal Love Ho Gaya,Mandeep Kumar,India,2012
Term Life,Peter Billingsley,United States,2016
Terminator 3: Rise of the Machines,Jonathan Mostow,"United States, Germany, United Kingdom",2003
Terminator Salvation,McG,"United States, Germany, United Kingdom, Italy",2009
Terra,"Yann Arthus-Bertrand, Michael Pitiot",France,2015
Terrifier,Damien Leone,United States,2017
Teshan,Sukhbir Singh,India,2016
Tezz,Priyadarshan,"United Kingdom, India",2012
Thaandavam,Vijay,India,2012
Thackeray (Hindi),Abhijit Panse,India,2019
Thackeray (Marathi),Abhijit Panse,,2019
Thambi,Jeethu Joseph,India,2019
Thank You,Anees Bazmee,India,2011
That Thing Called Tadhana,Antoinette Jadaone,Philippines,2015
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Felix Herngren, MÃ¥ns Herngren",Sweden,2016
The 12th Man,Harald Zwart,Norway,2018
The 24 Hour War,"Nate Adams, Adam Carolla",United States,2016
The 2nd,Brian Skiba,United States,2020
The 3rd Eye,Rocky Soraya,Indonesia,2018
The 3rd Eye 2,Rocky Soraya,Indonesia,2019
The 4th Company,"Mitzi Vanessa Arreola, Amir Galvan Cervera","Mexico, Spain",2016
The 9th Precinct,Ding-Lin Wang,Taiwan,2019
The Accidental Spy,Roger Russell,Nigeria,2017
The Accountant of Auschwitz,Matthew Shoychet,Canada,2018
The Adderall Diaries,Pamela Romanowsky,United States,2015
The Adventure Club,Geoff Anderson,Canada,2016
The Adventures of Sharkboy and Lavagirl,Robert Rodriguez,United States,2005
The Adventures of Tintin,Steven Spielberg,"United States, New Zealand, United Kingdom",2011
The Aerial,Esteban Sapir,Argentina,2007
The African Doctor,Julien Rambaldi,France,2016
The After Party,Ian Edelman,United States,2018
The Age of Shadows,Jee-woon Kim,South Korea,2016
The Amazing Praybeyt Benjamin,Wenn V. Deramas,Philippines,2014
The American Game,Mostafa Abu Seif,,2019
The American Meme,Bert Marcus,United States,2018
The American President,Rob Reiner,United States,1995
The Amityville Horror,Andrew Douglas,United States,2005
The Angel,Ariel Vromen,"Israel, United States",2018
The Angry Birds Movie 2,"Thurop Van Orman, John Rice","Finland, United States",2019
The Animal People,"Denis Hennelly, Casey Suchan",United States,2019
The Ant's Scream,Sameh Abdulaziz,Egypt,2010
The Apostate,Federico Veiroj,"Spain, France, Uruguay",2015
The App,Elisa Fuksas,Italy,2019
The App That Stole Christmas,Monica Floyd,United States,2020
The Arbitration,Niyi Akinmolayan,Nigeria,2016
The Art of Loving,Maria Sadowska,Poland,2017
The Art of the Steal,Jonathan Sobol,"Canada, United States",2013
The Art of War,Christian Duguay,"United States, Canada",2000
The Artist,Michel Hazanavicius,"France, Belgium, United States",2011
The Assignment,Walter Hill,"France, Canada, United States",2016
The Autopsy of Jane Doe,AndrÃ© Ãvredal,"United Kingdom, United States",2016
The Awakening of Motti Wolkenbruch,Michael Steiner,Switzerland,2018
The B-Side: Elsa Dorfman's Portrait Photography,Errol Morris,United States,2016
The Babysitter,McG,United States,2017
The Babysitter: Killer Queen,McG,United States,2020
The Bachelors,Kurt Voelker,United States,2017
The Bad Batch,Ana Lily Amirpour,United States,2016
The Bad Education Movie,Elliot Hegarty,United Kingdom,2015
The Bad Kids,"Keith Fulton, Louis Pepe",United States,2016
The Ballad of Buster Scruggs,"Joel Coen, Ethan Coen",United States,2018
The Ballad of Lefty Brown,Jared MoshÃ©,United States,2017
The Bar,Ãlex de la Iglesia,"Spain, Argentina",2017
The Bare-Footed Kid,Johnnie To,Hong Kong,1993
The Basement,"Brian M. Conley, Nathan Ives",United States,2018
The Battered Bastards of Baseball,"Chapman Way, Maclain Way",United States,2014
The Battle of Midway,John Ford,United States,1942
The Beach Loafer,Ali Ragab,Egypt,2004
The Beast,Ludovico Di Martino,Italy,2020
The Beast Stalker,Dante Lam,Hong Kong,2008
The Beginning of Life,Estela Renner,,2016
The Beginning of Life 2: Outside,Renata Terra,Brazil,2020
The Best of RafaÅ Rutkowski Olka SzczÄÅniak,,,2016
The Bill Murray Stories: Life Lessons Learned From a Mythical Man,Tommy Avallone,United States,2018
The Binding,Domenico de Feudis,Italy,2020
The Birth Reborn,Eduardo Chauvet,,2018
The Birth Reborn 3,Eduardo Chauvet,,2018
The Bittersweet,D Ho,China,2017
The Black Godfather,Reginald Hudlin,United States,2019
The Black Prince,Kavi Raz,"United Kingdom, India, United States",2017
The Black Room,Rolfe Kanefsky,United States,2016
The Blackcoat's Daughter,Osgood Perkins,"Canada, United States",2015
The Blazing Sun,Youssef Chahine,Egypt,1954
The Bleeder,Philippe Falardeau,United States,2016
The Bleeding Edge,Kirby Dick,"Australia, United States",2018
The Blind Christ,Christopher Murray,"Chile, France",2016
The Bling Lagosians,Bolanle Austen-Peters,Nigeria,2019
The Bling Ring,Sofia Coppola,"United States, United Kingdom, France, Germany, Japan",2013
The Blue Elephant 2,Marwan Hamed,Egypt,2019
The Blue Umbrella,Vishal Bhardwaj,India,2005
The Body,Jeethu Joseph,India,2019
The Body Remembers When the World Broke Open,"Elle-MÃ¡ijÃ¡ Tailfeathers, Kathleen Hepburn","Canada, Norway",2019
The Bomb,"Kevin Ford, Smriti Keshari, Eric Schlosser",United States,2016
The Book of Eli,"Albert Hughes, Allen Hughes",United States,2010
The Book of Sun,Faris Godus,Saudi Arabia,2020
The Boss Baby: Get That Baby!,"Dan Forgione, Pete Jacobs, Matt Whitlock",United States,2020
The Boss's Daughter,Olivier Loustau,France,2015
The Bounty Hunter,Andy Tennant,United States,2010
The Box,Richard Kelly,United States,2009
The Boy,William Brent Bell,"United States, Canada, China",2016
The Boy in the Striped Pajamas,Mark Herman,"United Kingdom, United States",2008
The Boy Who Cried Werewolf,Eric Bross,"United States, Canada",2010
The Boy Who Harnessed the Wind,Chiwetel Ejiofor,"United Kingdom, Malawi",2019
The Boys in the Band,Joe Mantello,United States,2020
The Boys in the Band: Something Personal,,United States,2020
The Brave,William Kaufman,United States,2019
The Brave One,Neil Jordan,United States,2007
The Brawler,Ken Kushner,United States,2019
The Breadwinner,Nora Twomey,"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India",2017
The Break-Up,Peyton Reed,United States,2006
The Breaker Upperers,"Jackie van Beek, Madeleine Sami",New Zealand,2018
The Breakup Playlist,Dan Villegas,Philippines,2015
The Bridge,Kunle Afolayan,Nigeria,2017
The Bridge Curse,Lester Hsi,Taiwan,2020
The Bros,You-Jeong Chang,South Korea,2017
The Brothers Grimm,Terry Gilliam,"United States, Czech Republic, United Kingdom",2005
The Bucket List,Rob Reiner,United States,2007
The Bulbul's Nest,Husam El-Gohari,,2013
The Bund,,Hong Kong,1983
The Burial of Kojo,"Sam ""Blitz"" Bazawule","Ghana, United States",2018
The Butterfly's Dream,YÄ±lmaz ErdoÄan,Turkey,2013
The Bye Bye Man,Stacy Title,"United States, China",2017
The Bygone,"Graham Phillips, Parker Phillips",United States,2019
The C Word,Meghan O'Hara,United States,2016
The Cakemaker,Ofir Raul Graizer,"Israel, Germany",2017
The Call,Lee Chung-hyun,South Korea,2020
The Captive,Atom Egoyan,Canada,2014
The Car,Elliot Silverstein,United States,1977
The Car: Road to Revenge,G.J. Echternkamp,United States,2019
The Carter Effect,Sean Menard,United States,2017
The Case for Christ,Jon Gunn,United States,2017
The Cell,Tarek Al Eryan,Egypt,2017
The CEO,Kunle Afolayan,Nigeria,2016
The Charnel House,Craig Moss,United States,2016
The Chord,Magdy Al-Hawwary,Egypt,2010
The Chosen,Antonio ChavarrÃ­as,"Spain, Mexico",2016
The Chosen Ones,David Pablos,"Mexico, France",2015
The Christmas Candle,John Stephenson,"United Kingdom, United States",2013
The Christmas Chronicles,Clay Kaytis,United States,2018
The Christmas Chronicles: Part Two,Chris Columbus,Canada,2020
The Christmas Project,Michael Buster,United States,2016
The Cincinnati Kid,Norman Jewison,United States,1965
The Clapper,Dito Montiel,United States,2017
The Claudia Kishi Club,Sue Ding,United States,2020
The Climb,Ludovic Bernard,France,2017
The Cloverfield Paradox,Julius Onah,United States,2018
The Coldest Game,Lukasz Kosmicki,"Poland, United States",2019
The Command,Thomas Vinterberg,"France, Belgium, Luxembourg, Romania, Canada, United States",2018
The Company Men,John Wells,United States,2010
The Competition,Harvey Lowry,United States,2018
The Con Is On,James Haslam,"United States, United Kingdom",2018
The Confirmation,Bob Nelson,Canada,2016
The Congress,Ari Folman,"Israel, Germany, Poland, Luxembourg, Belgium, France, United States",2013
The Conjuring,James Wan,United States,2013
The Consul's Son,Amr Arafa,Egypt,2011
The Craft,Andrew Fleming,United States,1996
The Creative Brain,"Jennifer Beamish, Toby Trackman",United States,2019
The Crew,Julien Leclercq,France,2015
The Crimes That Bind,SebastiÃ¡n Schindel,Argentina,2020
The Croods,"Kirk De Micco, Chris Sanders",United States,2013
The Crow,Alex Proyas,United States,1994
The Cruise,Marek Piwowski,Poland,1970
The Crying Game,Neil Jordan,"United Kingdom, Japan, United States",1992
The Crystal Calls Making the Dark Crystal: Age of Resistance,Randall Lobb,United States,2019
The D Train,"Jarrad Paul, Andrew Mogel","United Kingdom, United States",2015
The Da Vinci Code,Ron Howard,"United States, Malta, France, United Kingdom",2006
The Damned Rain,Satish Manwar,India,2009
The Dancer,Ifa Isfansyah,Indonesia,2011
The Danish Girl,Tom Hooper,"United Kingdom, United States, Germany, Denmark, Belgium, Japan",2015
The Dark Crystal,"Frank Oz, Jim Henson","United States, United Kingdom",1982
The Dark Side of Life: Mumbai City,Tariq Khan,India,2018
The Darkest Dawn,,United Kingdom,2016
The Darkness,Greg McLean,United States,2016
The Daughter,Simon Stone,Australia,2015
The Dawn Wall,"Peter Mortimer, Josh Lowell","Austria, United States",2017
The Day of the Lord,Santiago Alvarado Ilarri,"Mexico, Spain",2020
The Dealer,Ahmed Saleh,Egypt,2010
The Death and Life of Marsha P. Johnson,David France,"Greece, United States",2017
The Death of Mr. Lazarescu,Cristi Puiu,Romania,2005
The Death of Stalin,Armando Iannucci,"United Kingdom, France, Belgium, Canada, United States",2017
The Debt Collector,Jesse V. Johnson,"United Kingdom, United States",2018
The Debt Collector 2,Jesse V. Johnson,United States,2020
The Decline,Patrice LalibertÃ©,Canada,2020
The Delivery Boy,Adekunle Nodash Adejuyigbe,Nigeria,2018
The Departed,Martin Scorsese,"United States, Hong Kong",2006
The Desert Bride,"Cecilia AtÃ¡n, Valeria Pivato","Argentina, Chile",2017
The Detained,Blair Hayes,United States,2017
The Devil All The Time,Antonio Campos,United States,2020
The Devil and Father Amorth,William Friedkin,"Italy, United States",2017
The Devil Inside,William Brent Bell,United States,2012
The Devil We Know,"Stephanie Soechtig, Jeremy Seifert",United States,2018
The Devil's Mistress,Filip Renc,"Czech Republic, Slovakia",2016
The Diabolical,Alistair Legrand,United States,2015
The Dirt,Jeff Tremaine,United States,2019
The Disaster Artist,James Franco,United States,2017
The Discovery,Charlie McDowell,United States,2017
The Distinguished Citizen,"GastÃ³n Duprat, Mariano Cohn","Argentina, Spain",2016
The Do-Over,Steven Brill,United States,2016
The Doll,Rocky Soraya,Indonesia,2016
The Doll 2,Rocky Soraya,Indonesia,2017
The Dreamer,Riri Riza,Indonesia,2009
The Drowning,Bette Gordon,"United States, Hong Kong",2016
The Drug King,Woo Min-ho,South Korea,2018
The Duel,Kieran Darcy-Smith,United States,2016
The Dukes of Hazzard,Jay Chandrasekhar,United States,2005
The Dukes of Hazzard: The Beginning,Robert Berlinger,United States,2007
The Edge of Democracy,Petra Costa,Brazil,2019
The Edge of Seventeen,Kelly Fremon Craig,"United States, China",2016
The Eichmann Show,Paul Andrew Williams,"United Kingdom, Lithuania",2015
The Emigrant,Youssef Chahine,"Egypt, France",1994
The End,Mohammed Alhmly,Kuwait,2019
The End of Evangelion,"Hideaki Anno, Kazuya Tsurumaki",Japan,1997
The End of the Tour,James Ponsoldt,United States,2015
The Endless,"Justin Benson, Aaron Moorhead",United States,2017
The Endless Trench,"Aitor Arregi, Jon GaraÃ±o, Jose Mari Goenaga","Spain, France, Canada",2019
The Evil Dead,Sam Raimi,United States,1981
The Exception,David Leveaux,"United Kingdom, United States",2016
The Eyes of My Mother,Nicolas Pesce,United States,2016
The F**k-It List,Michael Duggan,United States,2019
The Family,Luc Besson,"France, United Kingdom, United States",2013
The Fear of 13,David Sington,United Kingdom,2015
The Feels,JenÃ©e LaMarque,United States,2018
The Fighter,David O. Russell,United States,2010
The Figurine (Araromire),Kunle Afolayan,Nigeria,2009
The Final Destination,David R. Ellis,United States,2009
The First Lady,Omoni Oboli,,2015
The First Line,"Coerte Voorhees, John Voorhees","United States, Greece, United Kingdom",2014
The First Temptation of Christ,Rodrigo Van Der Put,Brazil,2019
The First Wives Club,Hugh WIlson,United States,1996
The Five Venoms,Cheh Chang,Hong Kong,1978
The Flintstones,Brian Levant,United States,1994
The Flintstones in Viva Rock Vegas,Brian Levant,United States,2000
The Florida Project,Sean Baker,United States,2017
The Flying Guillotine,Meng Hua Ho,Hong Kong,1975
The Forbidden Kingdom,Rob Minkoff,"United States, China",2008
The Force,Peter Nicks,United States,2017
The Foreigner,Martin Campbell,"United Kingdom, China, United States, India",2017
The Forest,Jason Zada,United States,2016
The Forest of Love,Sion Sono,Japan,2019
The Forgotten,Oliver Frampton,United Kingdom,2014
The Forty-Year-Old Version,Radha Blank,United States,2020
The Founder,John Lee Hancock,"United States, Greece",2016
The Free Man,Toa Fraser,New Zealand,2016
The Frozen Ground,Scott Walker,United States,2013
The Fundamentals of Caring,Rob Burnett,United States,2016
The Fury of a Patient Man,RaÃºl ArÃ©valo,Spain,2016
The Game Changers,Louie Psihoyos,United States,2018
The Garden of Words,Makoto Shinkai,Japan,2013
The Gathering,Nia Dinata,Indonesia,2003
The Gentleman Driver,Mario Mattei,United States,2018
The Ghost and the Tout,Charles Uwagbai,Nigeria,2018
The Ghost Who Walks,Cody Stokes,United States,2019
The Giant,"Aitor Arregi, Jon GaraÃ±o",Spain,2017
The Girl Allergic to Wi-Fi,Jun Lana,Philippines,2018
The Girl from the Song,Ibai Abad,Spain,2016
The Girl with the Dragon Tattoo,David Fincher,"United States, Sweden, Norway",2011
The Golem,"Doron Paz, Yoav Paz",Israel,2018
The Good Catholic,Paul Shoulberg,United States,2017
The Good Neighbor,Kasra Farahani,United States,2016
"The Goods: Live Hard, Sell Hard",Neal Brennan,United States,2009
The Gospel of John,David Batty,"United Kingdom, United States, Morocco",2014
The Gospel of Luke,David Batty,"United States, United Kingdom, Morocco",2015
The Gospel of Mark,David Batty,,2015
The Gospel of Matthew,David Batty,,2014
The Grandmaster,Wong Kar Wai,"Hong Kong, China",2013
The Great Battle,,South Korea,2018
The Great Gambler,Shakti Samanta,India,1979
The Great Hack,"Karim Amer, Jehane Noujaim",United States,2019
The Great Magician,Yee Tung-Shing,"Hong Kong, China",2011
The Great Raid,John Dahl,"United States, Australia",2005
The Green Hornet,Michel Gondry,United States,2011
The Green Inferno,Eli Roth,"United States, Spain",2013
The Guardian Brothers,Gary Wang,China,2016
The Guernsey Literary and Potato Peel Pie Society,Mike Newell,"United Kingdom, France, United States",2018
The Half Of It,Alice Wu,United States,2020
The Happytime Murders,Brian Henson,"United States, China, Canada",2018
The Hard Way,Keoni Waxman,United States,2019
The Hateful Eight,Quentin Tarantino,United States,2015
The Hater,Jan Komasa,Poland,2020
The Hatred,Michael G. Kehoe,United States,2017
The Haunting of Molly Hartley,Mickey Liddell,United States,2008
The Healer,Paco Arango,"Spain, Canada, United States",2017
The Heartbreak Club,"Charles Gozali, Bagus Bramanti",Indonesia,2020
The Heartbreak Kid,"Bobby Farrelly, Peter Farrelly",United States,2007
The Heat: A Kitchen (R)evolution,Maya Gallus,Canada,2018
The Help,Tate Taylor,United States,2011
The Heretics,Chad Archibald,Canada,2017
The Heroes of Evil,Zoe BerriatÃºa,Spain,2015
The Heyday of the Insensitive Bastards,"Mark Columbus, Lauren Hoekstra, Sarah Kruchowski, Ryan Moody, Simon Savelyev, Vanita Shastry, Shadae Lamar Smith, Jeremy David White",United States,2017
The Highwaymen,John Lee Hancock,United States,2019
The History of Future Folk,"John Mitchell, Jeremy Kipp Walker",United States,2012
The Holiday Calendar,Bradley Walsh,United States,2018
The Hollow Point,Gonzalo LÃ³pez-Gallego,United States,2016
The Holy Man,Note Chern-Yim,Thailand,2005
The House Next Door,Milind Rau,India,2017
The House of Flowers Presents: The Funeral,Manolo Caro,,2019
The House on Coco Road,Damani Baker,United States,2016
The Hows of Us,Cathy Garcia-Molina,Philippines,2018
The Human Factor: The Untold Story of the Bombay Film Orchestras,Rudradeep Bhattacharjee,India,2013
The Humanity Bureau,Rob W. King,Canada,2017
The Hummingbird Project,Kim Nguyen,"Canada, Belgium",2018
The Hundred-Foot Journey,Lasse HallstrÃ¶m,"United States, India, United Arab Emirates",2014
The Hurricane Heist,Rob Cohen,"United Kingdom, United States",2018
The Hurt Business,Vlad Yudin,United States,2016
The Imaginarium of Doctor Parnassus,Terry Gilliam,"United Kingdom, Canada, France, United States",2009
